"Station Name","Org Name","MAC Address","System S/N","Address 1","Address 2","Floor Label",City,State,"Zip/Postal Code",County,"Country ","Activation Status","Network Status","Station Status","Port 1 Status","Port 2 Status","No. of Ports","Pricing Policy Name",Reservations,"Station Message",Enabled,"Station Activation Type","Usable By","Visibility (Access Policy Name)","Radio Group Name","Customer Category","Customer Subcategory","Circuit Sharing","Currency Name","Power Select / AC Breaker Rating","Scheduled Charging Policy Name",Warranty,"Station Activation Date","Warranty Expiration Date","Warranty Service","Device Access Restriction","Waitlist Policy Name","Asset Tag ID","Meter ID","Service Delivery Point ID","Point of Service ID","Account ID","Circuit ID","Panel ID","Customer Name","Customer ID","Site Validation Status",Paired
"STANFORD / THO GW-B","Stanford University",0024:B100:0003:2C1C,184841030920,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG-GW1,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-08-19 23:02:32",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / THO GW-A","Stanford University",0024:B100:0003:2A8C,184741030870,"740 Serra St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Unreachable,"Watch List","Watch List","Watch List",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG-GW2,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-08-19 23:10:20",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / TH WALL MOUNT","Stanford University",0024:B100:0002:16F3,143641006567,"295 Galvez St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Track House",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-19 08:32:56",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / TH STATION 1","Stanford University",0024:B100:0004:0667,201741012775,"295 Galvez St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_00040667,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-20 12:37:34",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / STATION 9","Stanford University",0024:B100:0006:C0E1,220241003311,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 9",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:43:35",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 8 PS-5","Stanford University",0024:B100:0002:15D4,143441006254,"340 Oak Rd",,,Stanford,California,94305,,"United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS5 - SW Wall",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:14:10",2023-12-31,"Parts Only",NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,"Not Validated",No
"STANFORD / STATION 8","Stanford University",0024:B100:0006:BD1D,220141000705,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 8",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:41:24",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 7 PS-5","Stanford University",0024:B100:0002:1C6A,145041008118,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS5 - SW Wall",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:56:20",2023-12-31,"Parts Only",NONE,,,,,,,,,"Oak Park Unified School District",0014000000gHPcz,"Not Validated",No
"STANFORD / STATION 7","Stanford University",0024:B100:0006:C802,220241003288,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 7",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-02-02 10:49:00",2027-09-11,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / STATION 6 PS-5","Stanford University",0024:B100:0002:15D0,143441006255,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS5 - SW Wall",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:54:04",2023-12-31,"Parts Only",NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,"Not Validated",No
"STANFORD / STATION 6","Stanford University",0024:B100:0006:BD13,220141000697,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 6",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:37:34",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 5 PS-5","Stanford University",0024:B100:0002:15DF,143441006275,"340 Oak Rd",,,Stanford,California,94305,,"United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS5 - SW Wall",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:45:44",2023-12-31,"Parts Only",NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,"Not Validated",No
"STANFORD / STATION 5","Stanford University",0024:B100:0006:BD20,220141000714,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,"Needs Service","Needs Service",Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 5",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:33:44",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 4 PS-5","Stanford University",0024:B100:0002:13E5,143041005775,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS5 - SW Wall",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:11:06",2023-12-31,"Parts Only",NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,"Not Validated",No
"STANFORD / STATION 4","Stanford University",0024:B100:0006:C80F,220241003284,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 4",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:31:07",2027-09-11,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / STATION 3 PS-5","Stanford University",0024:B100:0002:1F6C,150341000232,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS-5 NW Wall",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:43:43",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / STATION 3","Stanford University",0024:B100:0006:C80C,220241003312,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 3",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:26:50",2027-09-11,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / STATION 2 TMU","Stanford University",0024:B100:0006:BC3D,220141000444,"526-566 Lagunita Dr",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",RG_0006BC3D,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-30 07:36:25",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / STATION 2 PS-5","Stanford University",0024:B100:0004:3B91,200541004831,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS-5 NW Wall",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:12:52",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / STATION 2","Stanford University",0024:B100:0006:C0E2,220241003310,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 2",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:20:56",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 11","Stanford University",0024:B100:000C:083C,231641072278,"400 El Camino Real",,,"Menlo Park",California,94025,,"United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 11",Workplace,General,Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2023-05-11 14:04:13",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / STATION 10","Stanford University",0024:B100:0006:C7DC,220241003273,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 10",Workplace,General,Enabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2023-03-06 12:38:27",2027-09-11,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / STATION 1 TMU","Stanford University",0024:B100:0003:33C3,153741004116,"526-566 Stanford UniversityLagunita Dr",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",TMU,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-19 15:24:31",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / STATION 1 PS-5","Stanford University",0024:B100:0002:1EED,150241000120,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","PS-5 NW Wall",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:22:59",2023-12-31,"Parts & Labor",NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,Validated,No
"STANFORD / STATION 1","Stanford University",0024:B100:0006:4538,213841045402,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","GW 1",Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:10:23",2027-09-11,"Parts Only",NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / ROBLE LL2-12","Stanford University",0024:B100:0002:2A6E,152741003067,"375 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","LL2 Group 1",Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-02-01 11:44:03",2023-12-31,"Parts & Labor",NONE,,,SN152741003067,,,,,,,,Validated,No
"STANFORD / OAK ROAD #1","Stanford University",0024:B100:0003:824E,193041017182,"484 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use",,1,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Oak Road RG 01",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2020-05-28 05:26:59",2021-05-28,,NONE,,,,,,,,,,,"Not Validated",No
"STANFORD / CD STATION 6","Stanford University",0024:B100:0003:2ADF,184741030714,"742 Campus Drive","Manzanita Garage",,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,"Needs Service","In Use",Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","Campus Dr RG2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-12-22 17:53:21",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD STATION 4","Stanford University",0024:B100:0004:2ED8,192741015842,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",RG_00042ED8,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 17:06:57",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD STATION 3","Stanford University",0024:B100:0003:2AB1,184741030692,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Campus Dr RG1",Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-11-25 17:07:07",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD STATION 2","Stanford University",0024:B100:0004:A22C,210241001954,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",RG_0004A22C,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 16:50:44",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD STATION 1","Stanford University",0024:B100:0003:2AB5,184741030683,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Campus Dr RG1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 16:52:25",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD GATEWAY #3","Stanford University",0024:B100:0004:1B12,192641015360,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","Campus Dr RG3",Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2021-05-11 09:01:41",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD GATEWAY #2","Stanford University",0024:B100:0004:A250,210241001974,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers","Campus Dr RG2",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-12-19 23:28:41",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CD GATEWAY #1","Stanford University",0024:B100:0004:C4B2,211141011323,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","Campus Dr RG1",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 14:57:07",2023-12-31,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 6 LL1","Stanford University",0024:B100:0003:C68A,195241034416,"453 Quarry Rd",,1,"Palo Alto",California,94304,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use",,1,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 6",Education,"University / College",Disabled,"U.S. Dollars (USD)",30A,,"ChargePoint Assure","2021-03-22 10:30:10",2026-03-22,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 5 LL1","Stanford University",0024:B100:0003:C689,195241034419,"453 Quarry Rd",,,"Palo Alto",California,94304,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use",,1,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 5",Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2021-03-16 14:00:45",2026-03-16,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 4 LL1","Stanford University",0024:B100:0003:BF91,195041032475,"453 Quarry Rd",,,Stanford,California,94304,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 4",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2021-03-16 13:53:28",2026-03-16,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 3 LL1","Stanford University",0024:B100:0003:BF3D,195041032407,"453 Quarry Rd",,,"Palo Alto",California,94304,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 3",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2021-03-22 11:53:21",2026-03-22,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 2 LL1","Stanford University",0024:B100:0004:0E93,170141000309,"453 Quarry Rd",,,"Palo Alto",California,94304,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 2",Education,"University / College",Disabled,"U.S. Dollars (USD)",30A,,"ChargePoint Assure","2021-10-12 12:55:13",2026-10-12,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"STANFORD / CAM 1 LL1","Stanford University",0024:B100:0003:BF3B,195041032410,"453 Quarry Rd",,,"Palo Alto",California,94304,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers","Quarry Rd RG 1",Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2021-03-16 12:59:29",2026-03-16,"Parts & Labor",NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L5 5","Stanford University",0024:B100:0002:8DD9,173441009978,"425 Broadway",,L5,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L5",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:51:13",2020-03-15,,NONE,,,,,,,,,,,Validated,No
"SRWC / RWC L5 4","Stanford University",0024:B100:0002:8E32,173441009986,"425 Broadway",,L5,"Redwood City",California,94063,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers","RWC L5",Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2019-03-15 06:55:18",2020-03-15,,NONE,,,,,,,,,,,Validated,No
