"EVSE ID","Org Name","Org ID","Station Name","Model Number","Hardware S/N","MAC Address","Extended Warranty S/N","Warranty Description","Token S/N","Cloud Plan","Activation Date (Pacific Time)","Expiration Date (Pacific Time)",Address,"Additional Services S/N","Additional Services Description","Customer Name","Customer ID"
126169,"Stanford University",11920001,"ROBLE / ROBLE LL1-2",CT4020-HD-GW,185141033955,0024:B100:0004:20C4,RXSJ1670007565014,CT4000-ASSURE-REN,"REN1691788145023, REN1691788145038",Commercial,"2017-01-26 17:51:26",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126187,"Stanford University",11920001,"ROBLE / ROBLE LL1-DIS",CT4020-HD,152641002898,0024:B100:0002:299E,RXSJ1670007565061,CT4000-ASSURE-REN,"REN1691788144933, REN1691788144997",Commercial,"2017-01-27 15:02:08",2023-12-31,"375 Santa Teresa St, Stanford, California 94305, United States",,,,
126277,"Stanford University",11920001,"ROBLE / ROBLE LL1-5",CT4020-HD-GW,200441003033,0024:B100:0003:D5D6,RXSJ1670007565043,CT4000-ASSURE-REN,"REN1691788144950, REN1691788144974",Commercial,"2017-01-26 18:10:23",2023-12-31,"671-725 Panama St, Stanford, California 94305, United States",,,,
126643,"Stanford University",11920001,"STANFORD / ROBLE LL2-12",CT4020-HD,152741003067,0024:B100:0002:2A6E,RXSJ1670007565016,CT4000-ASSURE-REN,"REN1691788144984, REN1691788144995",Commercial,"2017-02-01 11:44:03",2023-12-31,"375 Santa Teresa St, Stanford, California 94305, United States",,,,
126645,"Stanford University",11920001,"ROBLE / ROBLE LL2-6",CT4020-HD,152741003068,0024:B100:0002:2A6B,RXSJ1670007565071,CT4000-ASSURE-REN,"REN1691788145010, REN1691788145022",Commercial,"2017-01-31 15:20:58",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126651,"Stanford University",11920001,"ROBLE / ROBLE LL1-9",CT4020-HD-GW,183441017415,0024:B100:0004:5D08,RXSJ1670007565024,CT4000-ASSURE-REN,"REN1691788145004, REN1691788145007",Commercial,"2017-01-26 17:26:13",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
126653,"Stanford University",11920001,"ROBLE / ROBLE LL2-7",CT4020-HD,152741003072,0024:B100:0002:2A74,RXSJ1670007565060,CT4000-ASSURE-REN,"REN1691788144965, REN1691788144981",Commercial,"2017-01-31 15:24:08",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126661,"Stanford University",11920001,"ROBLE / ROBLE LL2-11",CT4020-HD,152741003077,0024:B100:0002:2A7B,RXSJ1670007565050,CT4000-ASSURE-REN,"REN1691788144956, REN1691788145045",Commercial,"2017-01-31 16:36:41",2023-12-31,"375 Santa Teresa St, Stanford, California 94305, United States",,,,
126663,"Stanford University",11920001,"ROBLE / ROBLE LL1-3",CT4020-HD,152741003075,0024:B100:0002:2A73,RXSJ1670007565070,CT4000-ASSURE-REN,"REN1691788144978, REN1691788145040",Commercial,"2017-01-26 17:29:23",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126669,"Stanford University",11920001,"ROBLE / ROBLE LL2-8",CT4020-HD,152741003076,0024:B100:0002:2A8E,RXSJ1670007565053,CT4000-ASSURE-REN,"REN1691788144976, REN1691788145025",Commercial,"2017-01-31 14:43:12",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126673,"Stanford University",11920001,"ROBLE / ROBLE LL2-10",CT4020-HD,152741003079,0024:B100:0002:2A71,RXSJ1670007565025,CT4000-ASSURE-REN,"REN1691788144946, REN1691788145041",Commercial,"2017-02-01 02:20:56",2023-12-31,"375 Santa Teresa St, Stanford, California 94305, United States",,,,
126679,"Stanford University",11920001,"ROBLE / ROBLE LL2-4",CT4020-HD,152741003082,0024:B100:0002:2A80,RXSJ1670007565057,CT4000-ASSURE-REN,"REN1691788144988, REN1691788145029",Commercial,"2017-01-31 15:27:12",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
126683,"Stanford University",11920001,"ROBLE / ROBLE LL2-5",CT4020-HD,152741003081,0024:B100:0002:2A70,RXSJ1670007565032,CT4000-ASSURE-REN,"REN1691788144954, REN1691788145024",Commercial,"2017-02-01 03:56:40",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126693,"Stanford University",11920001,"ROBLE / ROBLE LL1-10",CT4020-HD-GW,164941007425,0024:B100:0004:5CE8,RXSJ1670007565038,CT4000-ASSURE-REN,"REN1691788144937, REN1691788144969",Commercial,"2017-01-31 15:17:50",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
126695,"Stanford University",11920001,"ROBLE / ROBLE LL1-8",CT4020-HD,152741003088,0024:B100:0002:2A7C,RXSJ1670007565069,CT4000-ASSURE-REN,"REN1691788144957, REN1691788144993",Commercial,"2017-01-26 17:35:38",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
148717,"Stanford University",11920001,"ROBLE / ROBLE LL1-11",CT4020-HD,155141008435,0024:B100:0002:3F5A,RXSJ1670007565031,CT4000-ASSURE-REN,"REN1691788145001, REN1691788145046",Commercial,"2017-01-26 15:27:05",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
158679,"Stanford University",11920001,"SRWC / CHARGER 5",TRI93-50-01-US,37569,000D:6F00:04F8:B0AC,,,REN1670338977016,Commercial,"2020-11-11 06:56:36",2023-12-31,"585 Broadway, Redwood City, California 94063, United States",,,,
162597,"Stanford University",11920001,"SRWC / CHARGER 2",CT4010-HD-GW,162741003523,0024:B100:0002:5144,,,REN1670338977030,Commercial,"2017-03-23 16:35:37",2023-12-31,"585 Broadway, Redwood City, California 94063, United States",,,"Stanford University",0014000000kfOC5
162655,"Stanford University",11920001,"ROBLE / ROBLE LL1-12",CT4020-HD-GW,172641007698,0024:B100:0004:0EC1,RXSJ1670007565037,CT4000-ASSURE-REN,"REN1691788144963, REN1691788145034",Commercial,"2017-01-26 14:33:33",2023-12-31,"287 Santa Teresa St, Stanford, California 94305, United States",,,,
162657,"Stanford University",11920001,"ROBLE / ROBLE LL2-1",CT4020-HD-GW,162741003546,0024:B100:0002:5134,RXSJ1670007565052,CT4000-ASSURE-REN,"REN1691788145021, REN1691788145039",Commercial,"2017-01-27 16:59:07",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
162667,"Stanford University",11920001,"ROBLE / ROBLE LL2-14",CT4020-HD-GW,162841003554,0024:B100:0002:5154,RXSJ1670007565047,CT4000-ASSURE-REN,"REN1691788144983, REN1691788145048",Commercial,"2017-01-27 13:18:14",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
162797,"Stanford University",11920001,"ROBLE / ROBLE LL1-1",CT4020-HD-GW,162841003560,0024:B100:0002:5158,RXSJ1670007565020,CT4000-ASSURE-REN,"REN1691788144960, REN1691788145036",Commercial,"2017-01-26 16:39:08",2023-12-31,"373 Santa Teresa St, Stanford, California 94305, United States",,,,
168373,"Stanford University",11920001,"SRWC / CHARGER 4",CT4010-HD,163841004932,0024:B100:0002:5752,,,REN1670338977042,Commercial,"2017-03-23 17:38:00",2023-12-31,"900-998 Douglas Ave, Redwood City, California 94063, United States",,,"Stanford University",0014000000kfOC5
168401,"Stanford University",11920001,"SRWC / CHARGER 3",CT4010-HD,163841004941,0024:B100:0002:575E,,,REN1670338977058,Commercial,"2017-03-23 17:37:23",2023-12-31,"585 Broadway, Redwood City, California 94063, United States",,,"Stanford University",0014000000kfOC5
239411,"Stanford University",11920001,"SRWC / RWC L4 2",CT4020-HD,173441009990,0024:B100:0002:8E36,,,"REN1670338977031, REN1670338977052",Commercial,"2019-03-15 06:39:16",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239441,"Stanford University",11920001,"SRWC / RWC L4 4",CT4020-HD,173441009989,0024:B100:0002:8E49,,,"REN1670338977014, REN1670338977050",Commercial,"2019-03-15 06:35:19",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239511,"Stanford University",11920001,"SRWC / RWC B1 1",CT4020-HD,173441009991,0024:B100:0002:8E4A,,,"REN1670338977019, REN1670338977038",Commercial,"2019-03-15 05:56:13",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
239531,"Stanford University",11920001,"SRWC / RWC L2 1",CT4020-HD,173441009984,0024:B100:0002:8E2C,,,"REN1670338977008, REN1670338977051",Commercial,"2019-03-15 06:37:13",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
239541,"Stanford University",11920001,"SRWC / RWC L2 4",CT4020-HD,173441009983,0024:B100:0002:8E2F,,,"REN1670338977024, REN1670338977041",Commercial,"2019-03-15 06:39:14",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239571,"Stanford University",11920001,"SRWC / RWC L5 5",CT4020-HD,173441009978,0024:B100:0002:8DD9,,,"REN1670338977011, REN1670338977049",Commercial,"2019-03-15 06:51:13",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239611,"Stanford University",11920001,"SRWC / RWC L5 4",CT4020-HD,173441009986,0024:B100:0002:8E32,,,"REN1670338977046, REN1670338977054",Commercial,"2019-03-15 06:55:18",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239621,"Stanford University",11920001,"SRWC / RWC L3 4",CT4020-HD,173441009974,0024:B100:0002:8E28,,,"REN1670338977037, REN1670338977059",Commercial,"2019-03-15 06:45:14",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239631,"Stanford University",11920001,"SRWC / RWC L2 3",CT4020-HD,173441009973,0024:B100:0002:8E27,,,"REN1670338977036, REN1670338977055",Commercial,"2019-03-15 06:35:18",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239661,"Stanford University",11920001,"SRWC / RWC B1 4",CT4020-HD,173441009933,0024:B100:0002:8DDC,,,"REN1670338977015, REN1670338977020",Commercial,"2019-03-15 05:54:18",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
239671,"Stanford University",11920001,"SRWC / RWC L4 1",CT4020-HD,173441010008,0024:B100:0002:8E37,,,"REN1670338977010, REN1670338977025",Commercial,"2019-03-15 06:37:20",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
246721,"Stanford University",11920001,"SRWC / RWC L3 3",CT4020-HD-GW,173541010298,0024:B100:0002:8E02,,,"REN1670338977032, REN1670338977040",Commercial,"2019-03-15 05:38:11",2023-12-31,"2858 Bay Rd, Redwood City, California 94063, United States",,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5
246781,"Stanford University",11920001,"SRWC / RWC B1 3",CT4020-HD-GW,164741006937,0024:B100:0003:9836,,,"REN1670338977009, REN1670338977017",Commercial,"2019-03-15 05:22:14",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5
246861,"Stanford University",11920001,"SRWC / RWC L2 2",CT4020-HD-GW,173541010306,0024:B100:0002:8FCA,,,"REN1670338977039, REN1670338977060",Commercial,"2019-03-15 05:36:14",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5
247101,"Stanford University",11920001,"SRWC / RWC L4 3",CT4020-HD-GW,173541010301,0024:B100:0002:8FD1,,,"REN1670338977012, REN1670338977027",Commercial,"2019-03-15 05:44:19",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,"The Board of Trustees of The Leland Stanford Junior University",0014000000kfOC5
254601,"Stanford University",11920001,"SRWC / RWC L5 1",CT4020-HD,173641010743,0024:B100:0002:9194,,,"REN1670338977034, REN1670338977043",Commercial,"2019-03-15 06:49:16",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
254621,"Stanford University",11920001,"SRWC / RWC L3 1",CT4020-HD,173641010749,0024:B100:0002:918F,,,"REN1670338977035, REN1670338977044",Commercial,"2019-03-15 06:43:15",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
254641,"Stanford University",11920001,"SRWC / RWC L1 1",CT4020-HD,164041005488,0024:B100:0002:594F,,,"REN1670338977013, REN1670338977047",Commercial,"2019-03-15 06:45:15",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
254681,"Stanford University",11920001,"SRWC / RWC L1 2",CT4020-HD,173641010746,0024:B100:0002:9202,,,"REN1670338977018, REN1670338977023",Commercial,"2019-03-15 06:47:14",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
254711,"Stanford University",11920001,"SRWC / RWC B1 2",CT4020-HD,173641010737,0024:B100:0002:9193,,,"REN1670338977053, REN1670338977061",Commercial,"2019-03-15 05:52:14",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
254801,"Stanford University",11920001,"SRWC / RWC L1 5",CT4020-HD,173641010742,0024:B100:0002:919B,,,"REN1670338977026, REN1670338977045",Commercial,"2019-03-15 06:43:16",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
254841,"Stanford University",11920001,"SRWC / RWC L3 2",CT4020-HD,173641010752,0024:B100:0002:91C3,,,"REN1670338977033, REN1670338977063",Commercial,"2019-03-15 06:47:15",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
419271,"Stanford University",11920001,"SRWC / RWC L1 3",CT4020-HD,175141017015,0024:B100:0002:AD71,,,"REN1670338977029, REN1670338977062",Commercial,"2019-03-15 06:39:15",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
422291,"Stanford University",11920001,"SRWC / RWC L1 4",CT4020-HD,175241017163,0024:B100:0002:AE14,,,"REN1670338977028, REN1670338977056",Commercial,"2019-03-15 06:49:14",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
428361,"Stanford University",11920001,"SRWC / RWC L5 3",CT4010-HD-GW,175241017410,0024:B100:0002:A917,,,REN1670338977021,Commercial,"2019-03-15 05:56:15",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
446341,"Stanford University",11920001,"SRWC / RWC L1 6",CT4010-HD-GW,180241000629,0024:B100:0002:B04A,,,REN1670338977022,Commercial,"2019-03-15 05:34:14",2023-12-31,"425 Broadway, Redwood City, California 94063, United States",,,,
715031,"Stanford University",11920001,"STANFORD / THO GW-B",CT4020-HD-GW,184841030920,0024:B100:0003:2C1C,RXSJ1670007565056,CT4000-ASSURE-REN,"REN1691788144938, REN1691788145035",Commercial,"2020-08-19 23:02:32",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
715051,"Stanford University",11920001,"STANFORD / THO GW-A",CT4020-HD-GW,184741030870,0024:B100:0003:2A8C,RXSJ1670007565067,CT4000-ASSURE-REN,"REN1691788144939, REN1691788144968",Commercial,"2020-08-19 23:10:20",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
738381,"Stanford University",11920001,"SRWC / RWC L5 2",CT4010-HD,184541028755,0024:B100:0003:1F95,,,REN1670338977057,Commercial,"2019-03-15 06:53:15",2023-12-31,"2850 Bay Rd, Redwood City, California 94063, United States",,,,
1942771,"Stanford University",11920001,"STANFORD / THO NGW-B1",CT4020-HD,184141024567,0024:B100:0003:12D9,RXSJ1670007565049,CT4000-ASSURE-REN,"REN1691788144941, REN1691788145043",Commercial,"2020-09-17 15:38:46",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942831,"Stanford University",11920001,"STANFORD / THO NGW-B2",CT4020-HD,184141024593,0024:B100:0003:12F1,RXSJ1670007565036,CT4000-ASSURE-REN,"REN1691788144999, REN1691788145013",Commercial,"2020-09-17 15:36:26",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942871,"Stanford University",11920001,"STANFORD / THO NGW-B3",CT4020-HD,184141024577,0024:B100:0003:12EE,RXSJ1670007565051,CT4000-ASSURE-REN,"REN1691788144979, REN1691788145031",Commercial,"2020-09-17 15:29:31",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942891,"Stanford University",11920001,"STANFORD / THO NGW-B4",CT4020-HD,184141024600,0024:B100:0003:130F,RXSJ1670007565030,CT4000-ASSURE-REN,"REN1691788144959, REN1691788144986",Commercial,"2020-09-17 15:35:51",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942901,"Stanford University",11920001,"STANFORD / THO NGW-B5",CT4020-HD,184141024581,0024:B100:0003:12F8,RXSJ1670007565015,CT4000-ASSURE-REN,"REN1691788144952, REN1691788145003",Commercial,"2020-09-17 15:38:10",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942911,"Stanford University",11920001,"STANFORD / THO NGW-A1",CT4020-HD,184141024573,0024:B100:0003:12EB,RXSJ1670007565041,CT4000-ASSURE-REN,"REN1691788144940, REN1691788144942",Commercial,"2020-09-17 15:40:00",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942951,"Stanford University",11920001,"STANFORD / THO NGW-A2",CT4020-HD,184141024608,0024:B100:0003:130B,RXSJ1670007565040,CT4000-ASSURE-REN,"REN1691788144967, REN1691788145033",Commercial,"2020-09-17 15:44:39",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942961,"Stanford University",11920001,"STANFORD / THO NGW-A3",CT4020-HD,184141024588,0024:B100:0003:130E,RXSJ1670007565023,CT4000-ASSURE-REN,"REN1691788144936, REN1691788144985",Commercial,"2020-09-17 15:42:11",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1942971,"Stanford University",11920001,"STANFORD / THO NGW-A4",CT4020-HD,184141024603,0024:B100:0003:1312,RXSJ1670007565022,CT4000-ASSURE-REN,"REN1691788144961, REN1691788145011",Commercial,"2020-09-17 15:39:25",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
1943001,"Stanford University",11920001,"STANFORD / THO NGW-A5 ADA",CT4020-HD,184141024610,0024:B100:0003:1318,RXSJ1670007565029,CT4000-ASSURE-REN,"REN1691788144934, REN1691788144945",Commercial,"2020-09-17 15:40:18",2023-12-31,"740 Serra St, Stanford, California 94305, United States",,,,
2002541,"Stanford University",11920001,"STANFORD / OAK ROAD #1",CT4010-HD-GW,193041017182,0024:B100:0003:824E,,,REN1691788145002,Commercial,"2020-05-28 05:26:59",2023-12-31,"484 Oak Rd, Stanford, California 94305, United States",,,,
2100951,"Stanford University",11920001,"SRWC / CHARGER 1",CT4010-HD,153441003891,0024:B100:0002:4AEB,,,REN1670338977048,Commercial,"2020-02-11 13:52:31",2023-12-31,"585 Broadway, Redwood City, California 94063, United States",,,,
5390121,"Stanford University",11920001,"STANFORD / CD GATEWAY #3",CT4020-HD-GW,192641015360,0024:B100:0004:1B12,RXSJ1670007565035,CT4000-ASSURE-REN,"REN1691788145015, REN1691788145027",Commercial,"2021-05-11 09:01:41",2023-12-31,"742 Campus Drive, Stanford, California 94305, United States",,,,
5441611,"Stanford University",11920001,"STANFORD / CD GATEWAY #2",CT4020-HD-GW,210241001974,0024:B100:0004:A250,RXSJ1670007565039,CT4000-ASSURE-REN,"REN1691788144971, REN1691788145042",Commercial,"2020-12-19 23:28:41",2023-12-31,"742 Campus Drive, Stanford, California 94305, United States",,,,
5456051,"Stanford University",11920001,"STANFORD / CD GATEWAY #1",CT4020-HD-GW,211141011323,0024:B100:0004:C4B2,RXSJ1670007565027,CT4000-ASSURE-REN,"REN1691788144955, REN1691788144991",Commercial,"2020-11-25 14:57:07",2023-12-31,"742 Campus Drive, Stanford, California 94305, United States",,,,
5474381,"Stanford University",11920001,"STANFORD / CAM 4 LL1",CT4020-HD-GW,195041032475,0024:B100:0003:BF91,XSJ1579767479248,CT4000-ASSURE5,"TKN1579767479242, TKN1579767479243",Commercial,"2021-03-16 13:53:28",2026-03-16,"453 Quarry Rd, Stanford, California 94304, United States",,,,
5474391,"Stanford University",11920001,"STANFORD / CAM 1 LL1",CT4020-HD-GW,195041032410,0024:B100:0003:BF3B,XSJ1579767479251,CT4000-ASSURE5,"TKN1579767479236, TKN1579767479237",Commercial,"2021-03-16 12:59:29",2026-03-16,"453 Quarry Rd, Palo Alto, California 94304, United States",,,,
5474401,"Stanford University",11920001,"STANFORD / CAM 5 LL1",CT4010-HD-GW,195241034419,0024:B100:0003:C689,XSJ1579767479249,CT4000-ASSURE5,TKN1579767479244,Commercial,"2021-03-16 14:00:45",2026-03-16,"453 Quarry Rd, Palo Alto, California 94304, United States",,,,
5475761,"Stanford University",11920001,"STANFORD / CAM 3 LL1",CT4020-HD-GW,195041032407,0024:B100:0003:BF3D,XSJ1579767479247,CT4000-ASSURE5,"TKN1579767479240, TKN1579767479241",Commercial,"2021-03-22 11:53:21",2026-03-22,"453 Quarry Rd, Palo Alto, California 94304, United States",,,,
5480591,"Stanford University",11920001,"STANFORD / CAM 2 LL1",CT4020-HD-GW,170141000309,0024:B100:0004:0E93,XSJ1579767479246,CT4000-ASSURE5,"TKN1579767479238, TKN1579767479239",Commercial,"2021-10-12 12:55:13",2026-10-12,"453 Quarry Rd, Palo Alto, California 94304, United States",,,,
