"Model Number","Station Name","Org Name","MAC Address","System S/N","Address 1","Address 2","Floor Label",City,State,"Zip/Postal Code",County,"Country ","Activation Status","Network Status","Station Status","Port 1 Status","Port 2 Status","No. of Ports","Pricing Policy Name",Reservations,"Station Message",Enabled,"Station Activation Type","Usable By","Visibility (Access Policy Name)","EVSE ID","Radio Group Name","Software Version","Customer Category","Customer Subcategory","Circuit Sharing","Currency Name","Power Select / AC Breaker Rating","Scheduled Charging Policy Name",Warranty,"Station Activation Date","Warranty Expiration Date","Warranty Service","Plug Type","Device Access Restriction","Waitlist Policy Name","Asset Tag ID","Meter ID","Service Delivery Point ID","Point of Service ID","Account ID","Circuit ID","Panel ID","Customer Name","Customer ID","Site ID","Site mode","Site Validation Status",Paired,Latitude,Longitude
CT4020-HD-GW,"STANFORD / TH WALL MOUNT","Stanford University",0024:B100:0002:16F3,143641006567,"295 Galvez St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",119361,"Track House",4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-19 08:32:56",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.432207341023870,-122.163296896295150
CT4020-HD-GW,"STANFORD / TH STATION 1","Stanford University",0024:B100:0004:0667,201741012775,"295 Galvez St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",118801,RG_00040667,4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-20 12:37:34",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.432241418935455,-122.163232523278800
CT4020-HD-GW,"STANFORD / STATION 9","Stanford University",0024:B100:0006:C0E1,220241003311,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124741,"GW 9",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:43:35",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450410000000000,-122.177246000000000
CT4020-HD,"STANFORD / STATION 8 PS-5","Stanford University",0024:B100:0002:15D4,143441006254,"340 Oak Rd",,,Stanford,California,94305,,"United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",110213,"PS5 - SW Wall",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:14:10",2023-12-31,"Parts Only",J1772,NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,,,"Not Validated",No,37.431710448476970,-122.182837635875900
CT4020-HD-GW,"STANFORD / STATION 8","Stanford University",0024:B100:0006:BD1D,220141000705,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124781,"GW 8",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:41:24",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450394000000000,-122.177160000000000
CT4020-HD,"STANFORD / STATION 7 PS-5","Stanford University",0024:B100:0002:1C6A,145041008118,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",117141,"PS5 - SW Wall",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:56:20",2023-12-31,"Parts Only",J1772,NONE,,,,,,,,,"Oak Park Unified School District",0014000000gHPcz,,,"Not Validated",No,37.431752826499974,-122.182847792881380
CT4020-HD-GW,"STANFORD / STATION 7","Stanford University",0024:B100:0006:C802,220241003288,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,"In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124701,"GW 7",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-02-02 10:49:00",2027-09-11,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.450397338309730,-122.177255364418030
CT4020-HD,"STANFORD / STATION 6 PS-5","Stanford University",0024:B100:0002:15D0,143441006255,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",110125,"PS5 - SW Wall",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:54:04",2023-12-31,"Parts Only",J1772,NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,,,"Not Validated",No,37.431757357410085,-122.182851279866670
CT4020-HD-GW,"STANFORD / STATION 6","Stanford University",0024:B100:0006:BD13,220141000697,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124811,"GW 6",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:37:34",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450370000000000,-122.176280000000000
CT4020-HD,"STANFORD / STATION 5 PS-5","Stanford University",0024:B100:0002:15DF,143441006275,"340 Oak Rd",,,Stanford,California,94305,,"United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",110209,"PS5 - SW Wall",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:45:44",2023-12-31,"Parts Only",J1772,NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,,,"Not Validated",No,37.431740234417410,-122.182837759175070
CT4020-HD-GW,"STANFORD / STATION 5","Stanford University",0024:B100:0006:BD20,220141000714,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,"Needs Service","Needs Service",Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124771,"GW 5",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:33:44",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450394000000000,-122.176330000000000
CT4020-HD-GW,"STANFORD / STATION 4 PS-5","Stanford University",0024:B100:0002:13E5,143041005775,"340 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,"In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",107663,"PS5 - SW Wall",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2016-06-08 14:11:06",2023-12-31,"Parts Only",J1772,NONE,,,,,,,,,"ABM Electrical & Lighting Solutions, LLC (SoCal)",0014000000aMh42,,,"Not Validated",No,37.431752177979560,-122.182864983641820
CT4020-HD-GW,"STANFORD / STATION 4","Stanford University",0024:B100:0006:C80F,220241003284,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124731,"GW 4",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:31:07",2027-09-11,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.450387641801600,-122.177294256448750
CT4020-HD,"STANFORD / STATION 3 PS-5","Stanford University",0024:B100:0002:1F6C,150341000232,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",118797,"PS-5 NW Wall",4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:43:43",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.431871663397480,-122.182691765081810
CT4020-HD-GW,"STANFORD / STATION 3","Stanford University",0024:B100:0006:C80C,220241003312,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124761,"GW 3",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:26:50",2027-09-11,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.450404144282025,-122.177268104910850
CT4020-HD-GW,"STANFORD / STATION 2 TMU","Stanford University",0024:B100:0006:BC3D,220141000444,"526-566 Lagunita Dr",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",118781,RG_0006BC3D,4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-30 07:36:25",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.423539295385400,-122.171108566131580
CT4020-HD-GW,"STANFORD / STATION 2 PS-5","Stanford University",0024:B100:0004:3B91,200541004831,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",119315,"PS-5 NW Wall",4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:12:52",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.431939819510774,-122.182595205557280
CT4020-HD-GW,"STANFORD / STATION 2","Stanford University",0024:B100:0006:C0E2,220241003310,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124721,"GW 2",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:20:56",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450413000000000,-122.177230000000000
CT4020-HD2-GW-LTE,"STANFORD / STATION 11","Stanford University",0024:B100:000C:083C,231641072278,"400 El Camino Real",,,"Menlo Park",California,94025,,"United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13125171,"GW 11",4.20.0+2023.02.10.63-alpha,Workplace,General,Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2023-05-11 14:04:13",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450653000000000,-122.176680000000000
CT4020-HD-GW,"STANFORD / STATION 10","Stanford University",0024:B100:0006:C7DC,220241003273,"495 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13125341,"GW 10",4.6.0.46,Workplace,General,Enabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2023-03-06 12:38:27",2027-09-11,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.450396159211294,-122.177270139881130
CT4020-HD-GW,"STANFORD / STATION 1 TMU","Stanford University",0024:B100:0003:33C3,153741004116,"526-566 Stanford UniversityLagunita Dr",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",119355,TMU,4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-19 15:24:31",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.423530318138450,-122.171051309262050
CT4020-HD,"STANFORD / STATION 1 PS-5","Stanford University",0024:B100:0002:1EED,150241000120,"360 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",118785,"PS-5 NW Wall",4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2015-03-18 15:22:59",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,"Stanford Parking & Transportation Services",0014000000wFNW2,,,Validated,No,37.431990936555030,-122.182477188360620
CT4010-HD-GW,"STANFORD / STATION 1","Stanford University",0024:B100:0006:4538,213841045402,"400 El Camino Real",,,"Menlo Park",California,94025,"San Mateo County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",13124711,"GW 1",4.6.0.46,Workplace,General,Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2023-01-19 08:10:23",2027-09-11,"Parts Only",J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.450410000000000,-122.177250000000000
CT4020-HD,"STANFORD / ROBLE LL2-12","Stanford University",0024:B100:0002:2A6E,152741003067,"375 Santa Teresa St",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",126643,"LL2 Group 1",4.6.0.46,Education,"University / College",Enabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2017-02-01 11:44:03",2023-12-31,"Parts & Labor",J1772,NONE,,,SN152741003067,,,,,,,,,,Validated,No,37.426215446186590,-122.175289225408960
CT4010-HD-GW,"STANFORD / OAK ROAD #1","Stanford University",0024:B100:0003:824E,193041017182,"484 Oak Rd",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,,1,"$2 per hr enforcement hours $1 per hr otherwise (e",Disabled,,Yes,Public,"All Drivers","All Drivers",2002541,"Oak Road RG 01",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"Standard Warranty","2020-05-28 05:26:59",2021-05-28,,J1772,NONE,,,,,,,,,,,,,"Not Validated",No,37.429258950231500,-122.184475946488190
CT4020-HD,"STANFORD / CD STATION 6","Stanford University",0024:B100:0003:2ADF,184741030714,"742 Campus Drive","Manzanita Garage",,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",5499441,"Campus Dr RG2",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-12-22 17:53:21",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425463428232234,-122.159754922684480
CT4010-HD-GW,"STANFORD / CD STATION 4","Stanford University",0024:B100:0004:2ED8,192741015842,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,,1,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",5499291,RG_00042ED8,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 17:06:57",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425632767956730,-122.159489383992010
CT4020-HD,"STANFORD / CD STATION 3","Stanford University",0024:B100:0003:2AB1,184741030692,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",5499251,"Campus Dr RG1",4.6.0.39,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2020-11-25 17:07:07",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425661523720954,-122.159547051485830
CT4020-HD-GW,"STANFORD / CD STATION 2","Stanford University",0024:B100:0004:A22C,210241001954,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",5499161,RG_0004A22C,4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 16:50:44",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425622498438060,-122.159546740773440
CT4020-HD,"STANFORD / CD STATION 1","Stanford University",0024:B100:0003:2AB5,184741030683,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,"In Use",Available,2,"$1 per hr enforcement hours",Disabled,"Plugged In Required",Yes,Public,"All Drivers","All Drivers",5498991,"Campus Dr RG1",4.6.0.39,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-11-25 16:52:25",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425589101775130,-122.159580579098520
CT4020-HD-GW,"STANFORD / CD GATEWAY #3","Stanford University",0024:B100:0004:1B12,192641015360,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Inuse,"In Use","In Use",2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",5390121,"Campus Dr RG3",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",,,"ChargePoint Assure","2021-05-11 09:01:41",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425520939879720,-122.159805884655770
CT4020-HD-GW,"STANFORD / CD GATEWAY #2","Stanford University",0024:B100:0004:A250,210241001974,"742 Campus Drive",,,Stanford,California,94305,"Santa Clara County","United States",Activated,Reachable,Available,Available,Available,2,"$1 per hr enforcement hours",Disabled,,Yes,Public,"All Drivers","All Drivers",5441611,"Campus Dr RG2",4.6.0.46,Education,"University / College",Disabled,"U.S. Dollars (USD)",40A,,"ChargePoint Assure","2020-12-19 23:28:41",2023-12-31,"Parts & Labor",J1772,NONE,,,,,,,,,,,,,Validated,No,37.425431477297860,-122.159821977909860
